Date,Forecast_Sales
2023-01-01,242.5399910312477
2023-01-02,242.5399910312477
2023-01-03,242.5399910312477
2023-01-04,242.5399910312477
2023-01-05,242.5399910312477
2023-01-06,242.5399910312477
2023-01-07,242.5399910312477
2023-01-08,242.5399910312477
2023-01-09,242.5399910312477
2023-01-10,242.5399910312477
2023-01-11,242.5399910312477
2023-01-12,242.5399910312477
2023-01-13,242.5399910312477
2023-01-14,242.5399910312477
2023-01-15,242.5399910312477
2023-01-16,242.5399910312477
2023-01-17,242.5399910312477
2023-01-18,242.5399910312477
2023-01-19,242.5399910312477
2023-01-20,242.5399910312477
2023-01-21,242.5399910312477
2023-01-22,242.5399910312477
2023-01-23,242.5399910312477
2023-01-24,242.5399910312477
2023-01-25,242.5399910312477
2023-01-26,242.5399910312477
2023-01-27,242.5399910312477
2023-01-28,242.5399910312477
2023-01-29,242.5399910312477
2023-01-30,242.5399910312477
